inst#,actual,predicted,error,prediction
75,4:Left,4:Left,,0.999
76,4:Left,4:Left,,1
77,4:Left,4:Left,,0.988
78,4:Left,3:Right,+,0.662
79,4:Left,4:Left,,0.693
80,4:Left,4:Left,,1
81,4:Left,4:Left,,0.897
82,4:Left,4:Left,,1
83,4:Left,3:Right,+,0.832
84,4:Left,1:Not,+,0.999
85,4:Left,4:Left,,1
86,3:Right,3:Right,,0.914
87,3:Right,3:Right,,0.827
88,3:Right,4:Left,+,0.964
89,3:Right,3:Right,,0.499
90,3:Right,3:Right,,0.616
91,3:Right,1:Not,+,0.633
92,3:Right,3:Right,,0.832
93,3:Right,3:Right,,0.686
94,3:Right,3:Right,,0.832
95,3:Right,3:Right,,0.811
96,3:Right,3:Right,,0.999
97,3:Right,1:Not,+,0.932
98,3:Right,3:Right,,1
99,3:Right,3:Right,,0.814
100,3:Right,3:Right,,0.993
101,3:Right,3:Right,,0.986
102,3:Right,3:Right,,0.832
103,3:Right,1:Not,+,0.557
104,3:Right,1:Not,+,0.998
1,1:Not,3:Right,+,0.992
2,1:Not,3:Right,+,0.943
3,1:Not,1:Not,,0.706
4,1:Not,1:Not,,0.927
5,1:Not,1:Not,,0.817
6,1:Not,1:Not,,0.926
7,1:Not,1:Not,,0.974
8,1:Not,1:Not,,0.681
9,1:Not,3:Right,+,0.959
10,1:Not,1:Not,,0.742
11,1:Not,1:Not,,0.771
12,1:Not,1:Not,,0.926
13,1:Not,1:Not,,0.928
14,1:Not,2:Forward,+,0.765
15,1:Not,1:Not,,0.98
16,1:Not,1:Not,,0.777
17,1:Not,1:Not,,0.925
18,1:Not,1:Not,,0.928
19,1:Not,1:Not,,0.776
20,1:Not,1:Not,,0.54
21,1:Not,1:Not,,0.981
22,1:Not,1:Not,,0.927
23,1:Not,1:Not,,0.914
24,1:Not,1:Not,,0.97
25,1:Not,1:Not,,0.928
26,1:Not,1:Not,,0.97
27,1:Not,2:Forward,+,0.526
28,1:Not,1:Not,,0.801
29,1:Not,1:Not,,0.678
30,1:Not,3:Right,+,0.984
31,1:Not,2:Forward,+,0.764
32,1:Not,1:Not,,0.706
33,1:Not,2:Forward,+,0.699
34,2:Forward,2:Forward,,0.764
35,2:Forward,2:Forward,,0.923
36,2:Forward,2:Forward,,0.579
37,2:Forward,2:Forward,,0.908
38,2:Forward,2:Forward,,0.522
39,2:Forward,2:Forward,,0.919
40,2:Forward,2:Forward,,0.925
41,2:Forward,2:Forward,,0.918
42,2:Forward,2:Forward,,0.593
43,2:Forward,2:Forward,,0.901
44,2:Forward,2:Forward,,0.893
45,2:Forward,2:Forward,,0.922
46,2:Forward,2:Forward,,0.899
47,2:Forward,2:Forward,,0.663
48,2:Forward,2:Forward,,0.521
49,2:Forward,2:Forward,,0.929
50,2:Forward,2:Forward,,0.778
51,2:Forward,2:Forward,,0.918
52,2:Forward,2:Forward,,0.852
53,2:Forward,2:Forward,,0.932
54,2:Forward,2:Forward,,0.819
55,2:Forward,2:Forward,,0.899
56,2:Forward,2:Forward,,0.764
57,2:Forward,2:Forward,,0.906
58,2:Forward,2:Forward,,0.646
59,2:Forward,2:Forward,,0.929
60,2:Forward,2:Forward,,0.905
61,2:Forward,2:Forward,,0.909
62,2:Forward,2:Forward,,0.922
63,2:Forward,2:Forward,,0.737
64,2:Forward,2:Forward,,0.756
65,2:Forward,2:Forward,,0.605
66,2:Forward,2:Forward,,0.94
67,2:Forward,2:Forward,,0.91
68,2:Forward,2:Forward,,0.578
69,2:Forward,2:Forward,,0.923
70,4:Left,4:Left,,0.934
71,4:Left,4:Left,,0.923
72,4:Left,4:Left,,0.886
73,4:Left,3:Right,+,0.875
74,4:Left,4:Left,,0.936
75,4:Left,4:Left,,0.936
76,4:Left,4:Left,,0.92
77,4:Left,4:Left,,0.929
78,4:Left,4:Left,,0.936
79,4:Left,4:Left,,0.961
80,4:Left,4:Left,,0.832
81,4:Left,4:Left,,0.756
82,4:Left,4:Left,,0.886
83,4:Left,4:Left,,0.936
84,4:Left,4:Left,,0.99
85,4:Left,2:Forward,+,0.669
86,3:Right,3:Right,,0.991
87,3:Right,3:Right,,0.676
88,3:Right,3:Right,,0.93
89,3:Right,3:Right,,0.928
90,3:Right,3:Right,,0.878
91,3:Right,3:Right,,0.912
92,3:Right,3:Right,,0.673
93,3:Right,1:Not,+,0.777
94,3:Right,3:Right,,0.966
95,3:Right,3:Right,,0.613
96,3:Right,3:Right,,0.595
97,3:Right,3:Right,,0.96
98,3:Right,3:Right,,0.924
99,3:Right,3:Right,,0.964
100,3:Right,3:Right,,0.998
101,3:Right,3:Right,,0.672
102,3:Right,3:Right,,0.913
103,3:Right,3:Right,,0.881
104,3:Right,3:Right,,0.966
1,1:Not,1:Not,,0.692
2,1:Not,1:Not,,0.79
3,1:Not,1:Not,,0.679
4,1:Not,1:Not,,1
5,1:Not,1:Not,,0.989
6,1:Not,1:Not,,0.987
7,1:Not,1:Not,,0.515
8,1:Not,2:Forward,+,0.756
9,1:Not,1:Not,,0.812
10,1:Not,1:Not,,0.584
11,1:Not,1:Not,,0.994
12,1:Not,1:Not,,1
13,1:Not,1:Not,,0.981
14,1:Not,1:Not,,0.996
15,1:Not,2:Forward,+,0.762
16,1:Not,1:Not,,0.997
17,1:Not,1:Not,,0.994
18,1:Not,1:Not,,0.82
19,1:Not,1:Not,,0.984
20,1:Not,1:Not,,0.523
21,1:Not,1:Not,,0.536
22,1:Not,3:Right,+,0.931
23,1:Not,1:Not,,0.892
24,1:Not,1:Not,,0.557
25,1:Not,1:Not,,0.7
26,1:Not,1:Not,,0.996
27,1:Not,2:Forward,+,1
28,1:Not,1:Not,,0.926
29,1:Not,1:Not,,1
30,1:Not,1:Not,,0.91
31,1:Not,1:Not,,0.989
32,1:Not,1:Not,,0.504
33,1:Not,3:Right,+,0.59
34,2:Forward,2:Forward,,0.971
35,2:Forward,2:Forward,,0.793
36,2:Forward,2:Forward,,0.99
37,2:Forward,2:Forward,,0.673
38,2:Forward,2:Forward,,0.903
39,2:Forward,1:Not,+,0.566
40,2:Forward,2:Forward,,0.843
41,2:Forward,2:Forward,,0.999
42,2:Forward,2:Forward,,0.586
43,2:Forward,2:Forward,,1
44,2:Forward,2:Forward,,0.866
45,2:Forward,1:Not,+,0.592
46,2:Forward,1:Not,+,0.621
47,2:Forward,2:Forward,,1
48,2:Forward,2:Forward,,0.837
49,2:Forward,2:Forward,,0.952
50,2:Forward,2:Forward,,1
51,2:Forward,2:Forward,,1
52,2:Forward,2:Forward,,0.528
53,2:Forward,2:Forward,,0.986
54,2:Forward,1:Not,+,0.55
55,2:Forward,2:Forward,,0.981
56,2:Forward,1:Not,+,0.505
57,2:Forward,2:Forward,,1
58,2:Forward,2:Forward,,0.971
59,2:Forward,2:Forward,,1
60,2:Forward,2:Forward,,0.943
61,2:Forward,2:Forward,,0.978
62,2:Forward,2:Forward,,0.991
63,2:Forward,2:Forward,,0.923
64,2:Forward,1:Not,+,0.517
65,2:Forward,2:Forward,,1
66,2:Forward,2:Forward,,0.998
67,2:Forward,2:Forward,,0.916
68,2:Forward,1:Not,+,0.984
69,2:Forward,2:Forward,,0.999
70,4:Left,4:Left,,1
71,4:Left,4:Left,,0.999
72,4:Left,4:Left,,0.999
73,4:Left,4:Left,,0.899
74,4:Left,2:Forward,+,0.964
75,4:Left,4:Left,,0.991
76,4:Left,1:Not,+,0.624
